id,description
1,Ticket011 - RedTheme Fiction Marvel
2,Ticket012 - BlueTheme Fiction Marvel 
3,Ticket013 - BlackTheme Fiction Marvel
4,Ticket014 - WhiteTheme Fiction Marvel
5,Ticket015 - YellowTheme Fiction Marvel
6,Ticket021 - RedTheme Fiction DC
7,Ticket022 - PinkTheme Fiction DC
8,Ticket023 - BlueTheme Fiction DC
9,Ticket031 - RedTheme NonFiction ActionMovie
10,Ticket032 - WhiteTheme NonFiction ActionMovie
11,Ticket033 - YellowTheme NonFiction ActionMovie
12,Ticket034 - BlueTheme NonFiction ActionMovie
13,Ticket041 - RedTheme Fiction Anime 
14,Ticket042 - BlueTheme Fiction Anime 
15,Ticket043 - BlackTheme Fiction Anime 
16,Ticket044 - YellowTheme Fiction Anime
