,timestamp,visitorid,event,itemid,transactionid
130,1433222276276,599528,transaction,356475,4000.0
304,1433193500981,121688,transaction,15335,11117.0
418,1433193915008,552148,transaction,81345,5444.0
814,1433176736375,102019,transaction,150318,13556.0
843,1433174518180,189384,transaction,310791,7244.0
1214,1433184261340,350566,transaction,54058,8796.0
1215,1433184261371,350566,transaction,284871,8796.0
1234,1433182772710,404403,transaction,150100,5216.0
1350,1433164275232,505565,transaction,243566,11713.0
1512,1433180403455,945184,transaction,245400,2415.0
1690,1433177808042,1406787,transaction,336832,15915.0
1711,1433179768674,820159,transaction,202052,14924.0
1871,1433202096802,319880,transaction,7943,11615.0
2075,1433199718976,608628,transaction,185598,11956.0
2142,1433212286455,956011,transaction,338308,3051.0
2237,1433208558795,1318394,transaction,318333,11413.0
2242,1433208587406,61806,transaction,68242,1343.0
2292,1433209368340,1331125,transaction,185896,11138.0
2315,1433211518562,911093,transaction,277119,1798.0
2316,1433211518578,911093,transaction,251130,1798.0
2578,1433143128864,157419,transaction,63769,16605.0
2608,1433143128880,157419,transaction,135703,16605.0
2789,1433154271395,1166562,transaction,103311,16717.0
2946,1433196261122,464138,transaction,428257,16951.0
2981,1433196272991,273406,transaction,256146,8900.0
3341,1433216459038,1233140,transaction,167827,15894.0
3346,1433216459038,1233140,transaction,387504,15894.0
3489,1433207202981,813069,transaction,201598,11179.0
3521,1433207298898,504901,transaction,367664,8467.0
3568,1433205161452,1041255,transaction,10034,17128.0
3613,1433206419951,328126,transaction,159822,14179.0
3674,1433187283751,404403,transaction,50934,7686.0
3794,1433185053966,497826,transaction,380493,14914.0
3842,1433184438292,666960,transaction,89977,17118.0
3927,1433185467024,1161163,transaction,383396,118.0
4117,1433213354800,1281446,transaction,55925,6155.0
4380,1433191943403,217773,transaction,308648,1482.0
4393,1433193499698,121688,transaction,380775,11117.0
4563,1433222027775,1043433,transaction,181045,9766.0
4660,1433176253107,1242777,transaction,430292,17312.0
4812,1433174518180,189384,transaction,299044,7244.0
5095,1433159711054,826010,transaction,138356,16490.0
5222,1433183293418,286616,transaction,183087,8906.0
5271,1433184055367,1192199,transaction,461765,8010.0
5292,1433184018826,1235292,transaction,221963,1139.0
5293,1433184018826,1235292,transaction,4887,1139.0
5307,1433182913691,1236753,transaction,336393,10874.0
5586,1433178463438,1161163,transaction,321712,17496.0
5694,1433179923397,977567,transaction,177773,17306.0
5756,1433180034080,1252850,transaction,277201,16934.0
5769,1433177009579,34648,transaction,281211,11609.0
5803,1433199643887,22090,transaction,205566,14860.0
5825,1433199306504,396761,transaction,36873,17479.0
6186,1433208822979,1020169,transaction,226728,4258.0
6192,1433211518594,911093,transaction,261940,1798.0
6325,1433211519825,800638,transaction,27812,15184.0
6383,1433218772086,571258,transaction,50329,5291.0
6388,1433218598043,1299250,transaction,422948,15155.0
6396,1433220252198,254621,transaction,404936,438.0
6683,1433196273007,273406,transaction,410587,8900.0
6690,1433196333767,291283,transaction,300559,7299.0
7198,1433188585658,1001673,transaction,366859,10811.0
7238,1433188606423,1344887,transaction,446524,7323.0
7240,1433188819667,639964,transaction,360258,17497.0
7292,1433189637878,1233931,transaction,445821,12555.0
7432,1433203309713,876581,transaction,125862,2216.0
7689,1433187146713,480593,transaction,107195,6580.0
7723,1433187728616,1094490,transaction,454964,6344.0
7809,1433187765442,1236753,transaction,185179,4455.0
7859,1433187596017,422787,transaction,259078,12051.0
7904,1433184342341,404403,transaction,36013,7630.0
7960,1433223390388,1076270,transaction,262799,17277.0
8275,1433193499713,121688,transaction,237753,11117.0
8414,1433199121219,84327,transaction,264774,14171.0
8637,1433202709062,404403,transaction,26210,15931.0
8825,1433174726623,1381613,transaction,189444,17173.0
8964,1433173374975,1026720,transaction,8426,16795.0
8987,1433180634921,138131,transaction,245168,6985.0
9073,1433178577181,1093035,transaction,193623,11012.0
9165,1433179992292,322407,transaction,260957,7215.0
9208,1433178463438,1161163,transaction,9376,17496.0
9258,1433178313291,820159,transaction,336832,1987.0
9270,1433184018951,1235292,transaction,240004,1139.0
9272,1433180771663,555094,transaction,42260,12701.0
9403,1433181200010,873401,transaction,281211,2653.0
9463,1433182397420,570360,transaction,430292,7666.0
9494,1433181549959,138131,transaction,150882,10835.0
9495,1433181549959,138131,transaction,14932,10835.0
9826,1433218466987,1042749,transaction,448601,14738.0
10211,1433211802766,1281446,transaction,55925,4055.0
10400,1433188632471,1161163,transaction,339917,15991.0
10470,1433190551915,346597,transaction,427749,11698.0
10531,1433189243087,404403,transaction,118199,3712.0
10737,1433198351627,1360085,transaction,104801,3588.0
10925,1433169372254,1291803,transaction,375181,12855.0
11184,1433216459038,1233140,transaction,390167,15894.0
11314,1433212910465,422045,transaction,361554,6424.0
11360,1433212724916,536757,transaction,303517,2208.0
11387,1433216315975,530205,transaction,458637,8038.0
11405,1433206785637,708918,transaction,275559,5911.0
11434,1433207380667,455557,transaction,213695,14377.0
11455,1433205732922,1134975,transaction,303960,12383.0
11513,1433207013894,350566,transaction,251130,4219.0
11662,1433187765442,1236753,transaction,435090,4455.0
11680,1433186012285,295220,transaction,335630,15085.0
11685,1433187338281,1249058,transaction,127926,16043.0
11711,1433186686648,416426,transaction,428015,6165.0
11787,1433184534685,1212037,transaction,32147,12267.0
11812,1433185467024,1161163,transaction,119736,118.0
11849,1433184342308,404403,transaction,234199,7630.0
11946,1433213932769,1406087,transaction,19269,9423.0
12148,1433215520956,748120,transaction,427499,2790.0
12226,1433194316927,820159,transaction,259078,3391.0
12269,1433193085532,500008,transaction,310206,11750.0
12332,1433193499760,121688,transaction,317178,11117.0
12487,1433221326923,158090,transaction,10572,11220.0
12512,1433222536130,529601,transaction,161166,2045.0
12747,1433190559806,350566,transaction,268335,9658.0
13004,1433180098349,1093035,transaction,448494,4101.0
13081,1433179168041,350566,transaction,183049,6362.0
13331,1433196272928,273406,transaction,140527,8900.0
13963,1433184018826,1235292,transaction,150183,1139.0
14185,1433208823027,1020169,transaction,175555,4258.0
14333,1433165859828,1012089,transaction,346139,6737.0
14525,1433171446599,347598,transaction,55731,14302.0
14686,1433207013894,350566,transaction,261940,4219.0
14828,1433173086195,1162858,transaction,387373,1681.0
15172,1433184342293,404403,transaction,416187,7630.0
15239,1433185512896,404403,transaction,167985,94.0
15393,1433201443950,308270,transaction,384895,4667.0
15429,1433202788608,820159,transaction,111306,7094.0
15544,1433198836721,1307202,transaction,181576,11470.0
15603,1433201125706,1139092,transaction,259114,1357.0
15642,1433199257394,608628,transaction,57245,12043.0
15675,1433217292740,1162858,transaction,463280,14440.0
15952,1433215970293,1166817,transaction,7943,17559.0
16132,1433191559664,350566,transaction,369093,12822.0
16260,1433194569585,1093035,transaction,355994,14699.0
16292,1433193499698,121688,transaction,12836,11117.0
16296,1433193499729,121688,transaction,400969,11117.0
16297,1433193499745,121688,transaction,105792,11117.0
16299,1433193499776,121688,transaction,25353,11117.0
16910,1433217654699,996134,transaction,461180,10233.0
17043,1433219570700,754142,transaction,63489,13875.0
17108,1433182913691,1236753,transaction,185179,10874.0
17111,1433182913675,1236753,transaction,435090,10874.0
17179,1433181549748,81688,transaction,99610,8954.0
17331,1433184018826,1235292,transaction,272455,1139.0
17338,1433184018826,1235292,transaction,326447,1139.0
17363,1433184018920,1235292,transaction,133247,1139.0
17378,1433184018951,1235292,transaction,63975,1139.0
17396,1433181783046,1018325,transaction,96940,3110.0
17505,1433143128833,157419,transaction,150185,16605.0
17615,1433139388863,178066,transaction,381613,5492.0
17788,1433179768830,820159,transaction,44882,14924.0
17869,1433179832884,138131,transaction,144076,4581.0
18029,1433208567481,350566,transaction,370745,37.0
18030,1433208567481,350566,transaction,192990,37.0
18174,1433208241913,611548,transaction,442837,9914.0
18235,1433187765442,1236753,transaction,336393,4455.0
18280,1433185330109,866540,transaction,329522,11534.0
18335,1433184342341,404403,transaction,146735,7630.0
18483,1433196272960,273406,transaction,124065,8900.0
18492,1433198382539,55135,transaction,164885,616.0
18579,1433198283947,1366259,transaction,384399,1172.0
18642,1433195097894,539910,transaction,385201,3839.0
18696,1433196272944,273406,transaction,120098,8900.0
18777,1433171142950,1364162,transaction,315543,17081.0
19007,1433188477639,162815,transaction,1684,4556.0
19166,1433188243970,1001673,transaction,366859,3305.0
19476,1433207013894,350566,transaction,277119,4219.0
19491,1433174948216,309647,transaction,19883,2341.0
19562,1433173991714,1088275,transaction,288418,5872.0
19648,1433172696636,293206,transaction,379092,1624.0
19724,1433176736422,102019,transaction,49521,13556.0
20042,1433193501043,121688,transaction,200793,11117.0
20087,1433193499838,121688,transaction,80582,11117.0
20088,1433193499807,121688,transaction,302422,11117.0
20252,1433191555600,850173,transaction,243470,12573.0
20309,1433219596058,1168808,transaction,189444,11515.0
20401,1433220001968,770690,transaction,190260,15097.0
20592,1433223390388,1076270,transaction,36035,17277.0
20968,1433201358437,1050805,transaction,78822,12945.0
20984,1433201358406,1050805,transaction,251415,12945.0
21121,1433199871847,854740,transaction,115530,15084.0
21280,1433141032674,244838,transaction,102573,1213.0
21499,1433143128786,157419,transaction,100367,16605.0
21547,1433178769532,286616,transaction,226820,1102.0
21651,1433180103843,322407,transaction,260957,11055.0
21739,1433180140086,286616,transaction,303828,695.0
22222,1433190308987,1249058,transaction,127926,9199.0
22412,1433182217238,191439,transaction,821,10165.0
22531,1433184018826,1235292,transaction,50577,1139.0
22707,1433174371620,282705,transaction,431447,13390.0
22965,1433196272975,273406,transaction,246997,8900.0
23001,1433196034041,1093035,transaction,71733,13075.0
23199,1433205452821,350566,transaction,241716,15826.0
23210,1433205040692,1285763,transaction,317435,13398.0
23398,1433184956036,1346478,transaction,181202,4423.0
23539,1433184342152,404403,transaction,4887,7630.0
23596,1433186143040,1161163,transaction,403566,12465.0
23636,1433187889318,1161163,transaction,345211,7779.0
23690,1433299899528,961085,transaction,231565,16356.0
23841,1433299660094,795060,transaction,217218,2547.0
23965,1433278056218,125208,transaction,339808,12260.0
24240,1433287366325,1003058,transaction,312728,15426.0
24588,1433277040699,286616,transaction,245994,9194.0
24597,1433276164383,565078,transaction,448494,250.0
24877,1433268051196,592348,transaction,199348,11033.0
24927,1433266320403,625795,transaction,118024,16350.0
25094,1433269428344,805204,transaction,281480,12248.0
25162,1433225957782,361387,transaction,43485,15665.0
25439,1433265997637,1274063,transaction,189764,12422.0
25552,1433264013976,1366764,transaction,243980,11545.0
25682,1433297342483,263391,transaction,248614,16835.0
25907,1433294680140,1254716,transaction,120098,14609.0
26214,1433281190444,723092,transaction,127722,13303.0
26268,1433283890520,888741,transaction,52539,12559.0
26503,1433290973503,138131,transaction,105334,12711.0
26807,1433303490395,319482,transaction,306328,14156.0
27194,1433271100601,805204,transaction,271268,6474.0
27513,1433260083007,12148,transaction,157438,5921.0
27769,1433301250621,1171969,transaction,8724,9971.0
27862,1433268156454,99830,transaction,219821,13767.0
28162,1433262959938,536804,transaction,6364,1524.0
28164,1433262959985,536804,transaction,331159,1524.0
28310,1433263575852,730188,transaction,316753,4979.0
28314,1433263755948,634120,transaction,7943,10507.0
28366,1433309163248,1280613,transaction,336359,8910.0
28509,1433306405022,1123085,transaction,151471,306.0
29002,1433226083071,361387,transaction,43485,3881.0
29032,1433227105920,262607,transaction,383396,13342.0
29580,1433298176480,1161163,transaction,164035,17055.0
29665,1433294731041,915374,transaction,158575,11356.0
29770,1433273162266,163561,transaction,114121,9120.0
29818,1433270163555,161529,transaction,164035,16246.0
29936,1433270433216,138131,transaction,268956,14814.0
29963,1433271162004,138131,transaction,288525,17198.0
29964,1433271162004,138131,transaction,289096,17198.0
30172,1433283890520,888741,transaction,206218,12559.0
30242,1433281190524,723092,transaction,62800,13303.0
30395,1433279012090,296401,transaction,321984,13566.0
30776,1433274908060,1108396,transaction,151320,872.0
30909,1433293540992,478763,transaction,234255,16062.0
30997,1433290973503,138131,transaction,36995,12711.0
31233,1433260313947,1209965,transaction,427499,12031.0
31237,1433258874136,691766,transaction,417008,1466.0
31244,1433261335499,371941,transaction,134309,10807.0
31300,1433262098621,470165,transaction,46156,15166.0
31316,1433261006099,1143344,transaction,451207,8849.0
31357,1433299659842,795060,transaction,8641,2547.0
31370,1433298953359,263391,transaction,248614,6016.0
31375,1433300361401,163561,transaction,382649,11789.0
31418,1433299876256,858127,transaction,23762,11446.0
31487,1433299158897,168685,transaction,210009,2336.0
31848,1433262631633,65249,transaction,130231,15671.0
31873,1433262951538,705177,transaction,319855,5346.0
31887,1433264927262,859454,transaction,309438,2070.0
31888,1433264927231,859454,transaction,402462,2070.0
31899,1433262959859,536804,transaction,150889,1524.0
32000,1433264051542,226547,transaction,460553,195.0
32347,1433289060399,286616,transaction,23246,10007.0
32481,1433284911957,196046,transaction,443030,13777.0
32532,1433285341343,90496,transaction,365832,1523.0
32547,1433285348217,90496,transaction,98893,1523.0
32696,1433268036879,479324,transaction,21886,1552.0
32754,1433269475604,139064,transaction,267010,8218.0
32812,1433268375760,928046,transaction,456056,2041.0
32888,1433267337608,595321,transaction,322666,10019.0
32982,1433245849602,652566,transaction,250618,599.0
32991,1433242909571,425069,transaction,167501,5313.0
33340,1433250410522,589789,transaction,217840,2733.0
33471,1433297474578,488277,transaction,221317,3658.0
33634,1433294680140,1254716,transaction,34269,14609.0
33643,1433294680140,1254716,transaction,85771,14609.0
33941,1433281190444,723092,transaction,8641,13303.0
33942,1433281190444,723092,transaction,185211,13303.0
34127,1433284867441,213145,transaction,361038,7381.0
34129,1433282465217,936737,transaction,360258,5146.0
34134,1433281430657,85555,transaction,368283,17285.0
34290,1433303444514,1059475,transaction,20740,2944.0
34533,1433274312879,517720,transaction,107367,10798.0
34543,1433275309310,333746,transaction,427499,1865.0
34716,1433273252578,851973,transaction,40582,4326.0
34747,1433270175708,1026208,transaction,240822,15229.0
34756,1433273204437,21302,transaction,171814,10552.0
34790,1433270602320,101161,transaction,199975,13706.0
34978,1433259838046,138131,transaction,326449,489.0
35046,1433258692694,149854,transaction,358598,4806.0
35047,1433258692694,149854,transaction,207993,4806.0
35048,1433258692679,149854,transaction,346655,4806.0
35064,1433260313819,1209965,transaction,349537,12031.0
35339,1433299659920,795060,transaction,32227,2547.0
35389,1433302578447,555887,transaction,451806,16803.0
35549,1433285155085,208678,transaction,445728,9886.0
35849,1433310304308,960928,transaction,448119,2037.0
36040,1433303490395,319482,transaction,249161,14156.0
36041,1433303490411,319482,transaction,194643,14156.0
36105,1433306024304,854858,transaction,432478,14144.0
36222,1433243627191,1406087,transaction,261886,12603.0
36644,1433282877849,22596,transaction,299915,831.0
36677,1433282145413,305234,transaction,296968,17437.0
36803,1433262959938,536804,transaction,273555,1524.0
36822,1433262959938,536804,transaction,406071,1524.0
36932,1433263919248,1197550,transaction,367790,10505.0
37050,1433266570016,138131,transaction,161911,15016.0
37207,1433268375760,928046,transaction,156896,2041.0
37579,1433273704487,1083188,transaction,134255,14674.0
37580,1433272383650,673572,transaction,428554,16783.0
37637,1433271494422,1318394,transaction,318333,3046.0
37798,1433277531183,249247,transaction,73051,1412.0
37847,1433278611555,1000767,transaction,457410,11901.0
37854,1433280956931,419048,transaction,123079,14500.0
37863,1433277911950,1161163,transaction,116475,17521.0
37943,1433281061118,163561,transaction,44001,30.0
38370,1433275976637,331270,transaction,180751,12271.0
38448,1433275316963,3926,transaction,335331,8689.0
38490,1433274130899,213145,transaction,23762,2352.0
38664,1433289670552,300882,transaction,26154,5385.0
38778,1433261278451,37382,transaction,255708,10144.0
38929,1433258874136,691766,transaction,8611,1466.0
38952,1433262070617,1314032,transaction,100393,8297.0
39062,1433302861436,672767,transaction,431918,5450.0
39067,1433299158897,168685,transaction,111530,2336.0
39142,1433299660207,795060,transaction,331159,2547.0
39417,1433285916428,273385,transaction,55133,4029.0
39568,1433262959938,536804,transaction,160272,1524.0
39569,1433262959938,536804,transaction,276282,1524.0
39593,1433263919217,1197550,transaction,362851,10505.0
39624,1433266159918,482439,transaction,463280,6727.0
39730,1433265045979,1218905,transaction,444190,10143.0
40248,1433266863603,213145,transaction,44845,14028.0
40261,1433268416135,308437,transaction,436938,7892.0
40331,1433268375573,712844,transaction,366421,11307.0
40381,1433268156689,99830,transaction,329443,13767.0
40401,1433281747323,1355914,transaction,179290,14518.0
40429,1433281190513,723092,transaction,273747,13303.0
40430,1433281190460,723092,transaction,406121,13303.0
40458,1433283890520,888741,transaction,156767,12559.0
40530,1433283197129,88841,transaction,37068,8709.0
40539,1433284153813,1161163,transaction,30024,13402.0
40549,1433282569392,825321,transaction,54008,15470.0
40743,1433244264770,1406087,transaction,261886,17535.0
40759,1433225582252,992844,transaction,322078,11666.0
40842,1433244264771,1406087,transaction,19269,17535.0
40858,1433232930235,992447,transaction,324670,2821.0
40968,1433242909493,425069,transaction,25688,5313.0
41257,1433255440772,1200007,transaction,266085,15588.0
41321,1433298168533,1027708,transaction,168166,13691.0
41414,1433294806568,1335026,transaction,326173,15942.0
41441,1433294680140,1254716,transaction,451501,14609.0
41442,1433294680140,1254716,transaction,7574,14609.0
41567,1433273087540,991198,transaction,327083,9862.0
41612,1433273412614,138131,transaction,362634,17265.0
41842,1433280794117,286616,transaction,449489,11965.0
42310,1433276569028,686854,transaction,384212,415.0
42323,1433274365596,196502,transaction,415653,12224.0
42348,1433273850714,566850,transaction,410143,12715.0
42472,1433275887413,213145,transaction,378223,7106.0
42480,1433289060430,286616,transaction,132672,10007.0
42734,1433292911333,1270624,transaction,60980,12082.0
42762,1433258692694,149854,transaction,204808,4806.0
42831,1433261127230,213145,transaction,382499,16056.0
43350,1433266523072,1129560,transaction,440954,2837.0
43370,1433266863603,213145,transaction,21198,14028.0
