timestamp,visitorid,event,itemid,transactionid
1.43E+12,1259098,transaction,461686,11502
1.43E+12,1213114,transaction,461686,6087
1.43E+12,568495,transaction,461686,2609
1.43E+12,1161163,transaction,461686,520
1.43E+12,871971,transaction,461686,13408
1.43E+12,807851,transaction,461686,3230
1.43E+12,410841,transaction,461686,6094
1.43E+12,880465,transaction,461686,1232
1.43E+12,684072,transaction,461686,2396
1.43E+12,264716,transaction,461686,9451
1.43E+12,628857,transaction,461686,9818
1.43E+12,957312,transaction,461686,16730
1.43E+12,769006,transaction,461686,14304
1.43E+12,1140886,transaction,461686,9227
1.43E+12,552261,transaction,461686,4390
1.44E+12,1029755,transaction,461686,13866
1.44E+12,672896,transaction,461686,713
1.44E+12,110412,transaction,461686,13563
1.44E+12,796470,transaction,461686,16247
1.44E+12,470176,transaction,461686,13120
1.44E+12,1336747,transaction,461686,15907
1.44E+12,72373,transaction,461686,2855
1.44E+12,94182,transaction,461686,6848
1.44E+12,250146,transaction,461686,4284
1.44E+12,964794,transaction,461686,10357
1.44E+12,780392,transaction,461686,5508
1.44E+12,1041389,transaction,461686,11566
1.44E+12,673950,transaction,461686,15719
1.44E+12,261643,transaction,461686,8381
1.44E+12,1169689,transaction,461686,6056
1.44E+12,602886,transaction,461686,10052
1.44E+12,980166,transaction,461686,544
1.44E+12,642130,transaction,461686,15543
1.44E+12,1323498,transaction,461686,14663
1.44E+12,222425,transaction,461686,7832
1.44E+12,281703,transaction,461686,7362
1.44E+12,351661,transaction,461686,15987
1.44E+12,203017,transaction,461686,9945
1.44E+12,1132549,transaction,461686,13012
1.44E+12,209317,transaction,461686,8581
1.44E+12,832580,transaction,461686,4497
1.44E+12,191477,transaction,461686,2545
1.44E+12,1110822,transaction,461686,4273
1.44E+12,464410,transaction,461686,9831
1.44E+12,1052508,transaction,461686,5131
1.44E+12,967783,transaction,461686,11803
1.44E+12,674240,transaction,461686,9068
1.44E+12,1164713,transaction,461686,12545
1.44E+12,1403350,transaction,461686,10417
1.44E+12,562286,transaction,461686,7842
1.44E+12,514028,transaction,461686,13488
1.44E+12,1286355,transaction,461686,6805
1.44E+12,466364,transaction,461686,8608
1.44E+12,1215681,transaction,461686,12762
1.44E+12,677623,transaction,461686,13929
1.44E+12,1358883,transaction,461686,797
1.44E+12,1358883,transaction,461686,10613
1.44E+12,466691,transaction,461686,942
1.44E+12,550337,transaction,461686,16243
1.44E+12,994820,transaction,461686,10320
1.44E+12,1121652,transaction,461686,2542
1.44E+12,1183412,transaction,461686,8799
1.44E+12,187536,transaction,461686,17429
1.44E+12,1363526,transaction,461686,6676
1.44E+12,152963,transaction,461686,8411
1.44E+12,1126569,transaction,461686,12641
1.44E+12,1374225,transaction,461686,2501
1.44E+12,71586,transaction,461686,2695
1.44E+12,377978,transaction,461686,5985
1.44E+12,1150086,transaction,461686,1445
1.44E+12,510429,transaction,461686,4888
1.44E+12,642130,transaction,461686,14170
1.44E+12,6952,transaction,461686,4966
1.44E+12,497371,transaction,461686,3263
1.44E+12,404036,transaction,461686,17622
1.44E+12,609009,transaction,461686,12919
1.44E+12,939792,transaction,461686,13854
1.44E+12,747952,transaction,461686,8692
1.44E+12,867441,transaction,461686,2528
1.44E+12,349713,transaction,461686,3093
1.44E+12,603999,transaction,461686,11588
1.44E+12,830370,transaction,461686,4901
1.44E+12,303083,transaction,461686,6628
1.44E+12,747630,transaction,461686,8130
1.44E+12,711110,transaction,461686,11677
1.44E+12,173863,transaction,461686,11302
1.44E+12,1217315,transaction,461686,7909
1.43E+12,741178,transaction,461686,17670
1.43E+12,1058213,transaction,461686,9007
1.43E+12,1116948,transaction,461686,4836
1.43E+12,1073168,transaction,461686,4308
1.43E+12,393237,transaction,461686,15021
1.43E+12,1170264,transaction,461686,13632
1.44E+12,312771,transaction,461686,12989
1.44E+12,292344,transaction,461686,11639
1.44E+12,1209995,transaction,461686,12162
1.44E+12,1165239,transaction,461686,13643
1.44E+12,724900,transaction,461686,10317
1.44E+12,212610,transaction,461686,5824
1.44E+12,329317,transaction,461686,5338
1.44E+12,281553,transaction,461686,14970
1.44E+12,697366,transaction,461686,6662
1.44E+12,48820,transaction,461686,15031
1.44E+12,880840,transaction,461686,15675
1.44E+12,133632,transaction,461686,995
1.44E+12,288932,transaction,461686,12052
1.44E+12,203490,transaction,461686,4136
1.44E+12,301496,transaction,461686,4087
1.44E+12,837781,transaction,461686,4201
1.44E+12,396040,transaction,461686,5693
1.44E+12,488462,transaction,461686,14570
1.44E+12,745620,transaction,461686,15796
1.44E+12,1251841,transaction,461686,4583
1.44E+12,1353976,transaction,461686,17459
1.44E+12,648048,transaction,461686,11332
1.44E+12,968159,transaction,461686,14146
1.44E+12,1042434,transaction,461686,14816
1.44E+12,1328538,transaction,461686,14200
1.44E+12,481437,transaction,461686,1661
1.44E+12,1150086,transaction,461686,1864
1.44E+12,890458,transaction,461686,16853
1.44E+12,704586,transaction,461686,13457
1.44E+12,672218,transaction,461686,11358
1.44E+12,483336,transaction,461686,6808
1.44E+12,613384,transaction,461686,8031
1.44E+12,655336,transaction,461686,10099
1.44E+12,1009438,transaction,461686,6766
1.44E+12,1308333,transaction,461686,14240
1.44E+12,502408,transaction,461686,7391
1.44E+12,385715,transaction,461686,1852
1.44E+12,1032432,transaction,461686,12717
1.44E+12,464410,transaction,461686,7691
1.44E+12,189934,transaction,461686,496
1.43E+12,1161163,transaction,119736,118
1.43E+12,438441,transaction,119736,8568
1.43E+12,438441,transaction,119736,2787
1.43E+12,1093035,transaction,119736,15356
1.43E+12,438441,transaction,119736,375
1.43E+12,1161163,transaction,119736,3620
1.43E+12,138131,transaction,119736,4440
1.43E+12,1161163,transaction,119736,1178
1.43E+12,892355,transaction,119736,10582
1.43E+12,1093035,transaction,119736,6736
1.43E+12,138131,transaction,119736,8469
1.43E+12,76757,transaction,119736,7349
1.43E+12,138131,transaction,119736,2917
1.43E+12,76757,transaction,119736,12568
1.43E+12,892355,transaction,119736,6027
